rho,input_size,time,memory
prior,1000,12:24,4.40
prior,5000,51:33,7.93
prior,10000,01:42:35,11.85
prior,20000,05:49:49,26.42
prior,50000,NULL,155.90
prior,100000,NULL,559.36
fixed,1000,
fixed,5000,
fixed,10000,
fixed,20000,
fixed,50000,
fixed,100000,
